id;nombre_empresa;ruc_empresa;direccion;logo;logo_content_type;color_tema
1;EXE input disintermediate;Electronics Mississippi;process improvement Engineer;../fake-data/blob/hipster.png;image/png;circuit synthesizing
2;generate;zero defect;deposit Australian Dollar;../fake-data/blob/hipster.png;image/png;Coordinator
3;Metrics PNG;Refined Concrete Keyboard;payment Sleek Granite Shoes Internal;../fake-data/blob/hipster.png;image/png;indigo
4;partnerships Architect;auxiliary withdrawal digital;New York Producer;../fake-data/blob/hipster.png;image/png;JBOD collaborative Euro
5;Specialist;Borders Licensed Concrete Fish Assistant;back-end navigate Metal;../fake-data/blob/hipster.png;image/png;Kuwait
6;Health Wooden invoice;incubate Credit Card Account array;Mauritania Cambridgeshire;../fake-data/blob/hipster.png;image/png;Tools District
7;Credit Card Account;Profound orchid;North Carolina portals Tasty;../fake-data/blob/hipster.png;image/png;Forward
8;portal turquoise Universal;repurpose;Gardens;../fake-data/blob/hipster.png;image/png;Arizona
9;Borders Borders;reboot;Chief;../fake-data/blob/hipster.png;image/png;Run e-tailers
10;grow Health;back up;orange Berkshire Metal;../fake-data/blob/hipster.png;image/png;infrastructures
