id;descripcion_producto;imagen_producto;imagen_producto_content_type;precio_producto;valor_iva;valor_ice;descuento;no_visitas
1;Buckinghamshire;../fake-data/blob/hipster.png;image/png;65104;46900;94052;24100;40234
2;Buckinghamshire hacking communities;../fake-data/blob/hipster.png;image/png;33527;95012;10400;12822;1008
3;Tasty;../fake-data/blob/hipster.png;image/png;16957;88128;60836;55048;86353
4;violet;../fake-data/blob/hipster.png;image/png;6769;76854;15880;14548;46953
5;neural generating;../fake-data/blob/hipster.png;image/png;95530;93957;35222;52964;20627
6;Accountability adapter grey;../fake-data/blob/hipster.png;image/png;41953;8782;64254;22154;56082
7;Gloves collaborative Rest;../fake-data/blob/hipster.png;image/png;8170;82924;955;92413;25207
8;transmitting Belize;../fake-data/blob/hipster.png;image/png;29557;2390;21447;18397;3199
9;Creative;../fake-data/blob/hipster.png;image/png;7282;39929;66320;5541;15100
10;SAS Branding Mouse;../fake-data/blob/hipster.png;image/png;14932;31857;34852;16306;42833
